556.3			240.7		 1.25			237.4			243.2
1018.16		294.85	  1.15		  291 		  298 		
1535.70		351.71	  1.25  		345.85		356.93		
147			510.92	2.5   		501   		517   		
1103.58		609.57	1.5   		603   		615   		
137			 768.7	 2.5			 760			 776
83 			 784.4 	 0.75 		 780.2 		 787.5
78.1 			 909.9 	 1.25 		 905.3 		 917
96 			933 		1.25 			928.5 		938.2
290			1121 		1.5   		1115  		1127  		
124			1238.7	2     		1234  		1243  		
95			1378.7	2     		1373  		1383  		
633			1461 		2     		1456  		1466  		
49			1510 		2.25  		1504.5		1516  		
25			1662 		2.34  		1655  		1668  		
53 			1730.5 	2.5 			1725 			1739
240			1766 		2.25  		1760  		1771  		
43			1842 		2.25  		1844.25		1854.25		
19 			2101.6 	1.0 			2096			 2108.8
24			2119.5	3     		2113.5		2126.5		
65			2205.5	3     		2199  		2213  		
22			2449.5	2.25  		2444  		2456  		
119.8 		2613 		1.75 			2606.5 		2617.8
